permit_number,permit_type,sub_type,status,parcel_number,issued_date,address,description,owner_name,contractor_name,valuation,fee,paid_fee
B22-00406,"Building - Full Plan Check","Full Plan Check",Issued,4188-009-037,03/13/2025,"330 MANHATTAN AVE","Construct new 3-story SFD",,,"$550,000.00","$13,163.73","$13,163.73"
B23-00595,"Building - Full Plan Check","Full Plan Check",Issued,4183-007-008,03/25/2025,"52 18TH ST","New SFR and ADU (5-beds/ 6- Baths) (Unit 1 will remain as 52",,,,,"$17,347.99"
B24-00010,"Building - Full Plan Check","Full Plan Check",Issued,4187-018-019,03/13/2025,"436 11TH ST UNIT A","New addition of one bedroom and extension of master bedroom.",,,,,"$3,462.40"
B24-00166,"Building - Full Plan Check","Full Plan Check",Issued,4181-024-012,03/12/2025,"245 26TH ST","Convert (E) dwelling to an ADU.",,,"$1,000.00","$1,231.96","$1,231.96"
B24-00275,"Building - Full Plan Check","Full Plan Check",Issued,4186-017-005,03/17/2025,"417 OCEAN VIEW AVE","ADU: Add 225 sq. ft. to storage and convert to ADU for total of",,,,,"$1,396.93"
B24-00386,"Building - Full Plan Check","Full Plan Check",Issued,4186-002-021,03/25/2025,"1,036 AVIATION BLVD","Tenant space to be converted to a (N) coffee shop",,,"$50,000.00","$2,060.33","$2,060.33"
B25-00024,"Building - Full Plan Check","Full Plan Check",Issued,4184-015-010,03/12/2025,"978 ARTESIA BLVD","Tenant Improvement to existing 908 sqft office",,,"$46,500.00","$1,961.36","$1,961.36"
B24-00410,"Building - In House Plan Check","In House Plan Check",Issued,4183-002-012,03/20/2025,"59 PIER AVE","Facade renovations to include new wood slat screen wall and",,,,,$671.22
B24-00555,"Building - In House Plan Check","In House Plan Check",Finaled,4184-017-009,03/05/2025,"611 25TH ST","Solar PV installation with 2 batteries. 12.95 kW, 35 panels, 35",,,,,$481.50
B24-00630,"Building - In House Plan Check","In House Plan Check",Issued,4184-025-022,03/04/2025,"720 21ST ST","Remodel of all kitchens and bathrooms. Add laundry closet to each","VARGAS,ROBERT J TR","R B P CONSTRUCTION SERVICES INC","$877,000.00","$19,791.44","$19,791.44"
B25-00014,"Building - In House Plan Check","In House Plan Check",Issued,4181-033-015,03/20/2025,"3,430 HERMOSA AVE","Shoring for new development",,,"$60,000.00","$2,270.84","$2,270.84"
B25-00069,"Building - In House Plan Check","In House Plan Check",Issued,4188-020-011,03/18/2025,"216 MONTEREY BLVD","Changing existing primary bedroom suite into two bedrooms and",,,"$30,000.00","$1,396.93","$1,396.93"
B25-00097,"Building - In House Plan Check","In House Plan Check",Issued,4188-009-010,03/26/2025,"310 BAYVIEW DR","Repair wood stair treads, stringer, rails. Existing landing to remain.",,,"$5,000.00",$366.51,$366.51
B25-00100,"Building - In House Plan Check","In House Plan Check",Issued,4181-020-034,03/05/2025,"344 31ST ST","Install 3-new waterproof outlets on deck wall. Replace all (E)",,,,,$366.41
B25-00076,"Building Permit OTC","Over The Counter",Issued,4187-016-040,03/06/2025,"38 7TH ST O 1","Demo and replace cabinets; remove and replace sink, dishwasher,",,,,,$686.31
B25-00087,"Building Permit OTC","Over The Counter",Issued,4184-025-022,03/04/2025,"720 21ST ST","Asbestos abatement in Unit 7 tile floor",,,"$1,995.00",$132.30,$132.30
B25-00088,"Building Permit OTC","Over The Counter",Finaled,4187-027-026,03/24/2025,"931 PACIFIC COAST HWY",Re-Roof,,,"$25,000.00",$690.06,$690.06
B25-00089,"Building Permit OTC","Over The Counter",Issued,4187-033-037,03/20/2025,"643 6TH ST","Kitchen remodel with relocation of sink and oven. 3 new pendant",,,,,$705.52
B25-00090,"Building Permit OTC","Over The Counter",Issued,4185-001-015,03/12/2025,"703 Pier AVE","Permanent Sign for Unit F- Simply Nail Bar",,,"$2,000.00",$132.36,$132.36
B25-00096,"Building Permit OTC","Over The Counter",Finaled,4181-015-002,03/03/2025,"3,412 MANHATTAN AVE","Remove existing roof down to the wood deck, install new",,,,,$324.84
B25-00099,"Building Permit OTC","Over The Counter",Issued,4181-020-034,03/05/2025,"344 31ST ST","Replace 4 exterior doors;","MCGUIRE,TERRANCE P TR","CUSTOM DESIGN & CONSTRUCTION","$11,500.00",$372.97,$372.97
B25-00102,"Building Permit OTC","Over The Counter",Issued,4186-028-022,03/05/2025,"1,205 1ST ST","Re-roof with comp shingles (Shasta white color) within the house",,,,,$228.45
B25-00103,"Building Permit OTC","Over The Counter",Finaled,4188-026-002,03/05/2025,"559 3RD ST",Re-Roof,,,"$15,500.00",$469.36,$469.36
B25-00104,"Building Permit OTC","Over The Counter",Issued,4188-009-010,03/05/2025,"310 BAYVIEW DR","Interior remodel in the kitchen, and 3 bathrooms (Master bath,",,,,,$870.08
B25-00106,"Building Permit OTC","Over The Counter",Finaled,4183-003-904,03/05/2025,"1,301 HERMOSA AVE","Approx. 300 sq. ft. drywall repairs inside of the elevator shaft",,,,,$0.00
B25-00107,"Building Permit OTC","Over The Counter",Issued,4186-004-010,03/05/2025,"915 9TH ST","Replace 2-car garage door (15x7)",,,"$3,200.00",$180.23,$180.23
B25-00109,"Building Permit OTC","Over The Counter",Issued,4188-009-010,03/10/2025,"310 BAYVIEW DR","Windows and sliding door replacement within the same location. (9",,,,,$445.33
B25-00112,"Building Permit OTC","Over The Counter",Issued,4169-028-016,03/20/2025,"707 LONGFELLOW AVE","Demo existing floor, Plumbing fixtures to be replaced ( Wall tile, tub,",,,"$10,050.00",$348.82,$348.82
B25-00113,"Building Permit OTC","Over The Counter",Issued,4169-030-016,03/12/2025,"657 30TH ST","Bathroom remodel with remove and replace electrical and plumbing",,,,,"$1,509.66"
B25-00116,"Building Permit OTC","Over The Counter",Finaled,4181-033-017,03/13/2025,"3,414 HERMOSA AVE","Repair a water leak, drywall repair.",,,"$3,200.00",$180.23,$180.23
B25-00117,"Building Permit OTC","Over The Counter",Issued,4188-010-063,03/13/2025,"225 4TH ST","Replacement of 12 windows within the same size. Replace 1",,,,,$851.71
B25-00118,"Building Permit OTC","Over The Counter",Issued,4184-016-021,03/17/2025,"736 GOULD AVE NO 4","Bathroom remodel to Unit #4",,,"$9,000.00",$300.74,$300.74
B25-00119,"Building Permit OTC","Over The Counter",Issued,4161-029-007,03/24/2025,"1,119 9TH ST","Remove existing tile and stack on the roof, replace underlayment",,,,,$421.22
B25-00123,"Building Permit OTC","Over The Counter",Finaled,4186-029-010,03/18/2025,"1,124 1ST ST","Remove existing roof system and replace damaged sheathing.",,,,,$493.53
B25-00126,"Building Permit OTC","Over The Counter",Issued,4181-023-003,03/18/2025,"208 28TH ST","Re-Roof- Tear off old bur roof and install new.",,,"$15,150.00",$469.32,$469.32
B25-00127,"Building Permit OTC","Over The Counter",Issued,4184-019-018,03/18/2025,"637 24TH ST","Tear off two layers of old asphalt shingles and install new class A",,,,,$373.04
B25-00128,"Building Permit OTC","Over The Counter",Issued,4161-030-002,03/18/2025,"1,209 8TH ST",Re-Roof,,,"$8,000.00",$276.64,$276.64
