permit_number,permit_type,sub_type,status,parcel_number,issued_date,address,description,owner_name,contractor_name,valuation,fee,paid_fee
B21-00079,"Building - Full Plan Check","Full Plan Check",Inspections,4186-024-042,02/10/2025,"1,104 3RD ST","New (3) Story SFR w/ Basement and attached (2) Car Garage.",,,,,"$21,633.14"
B22-00318,"Building - Full Plan Check","Full Plan Check",Issued,4161-025-018,02/19/2025,"1,102 AVIATION BLVD","Modification to the existing wireless antennas (Contractor clarifies",,,,,"$1,929.24"
B24-00003,"Building - Full Plan Check","Full Plan Check",Issued,4182-014-007,02/13/2025,"2,451 SILVERSTRAND AVE","New 2-Story Residence over Basement with attached 2-car",,,,,"$14,519.77"
B24-00383,"Building - Full Plan Check","Full Plan Check",Issued,4184-027-032,02/11/2025,"1,600 ARDMORE AVE NO 206","Balcony deck improvements",,,"$18,000.00",$929.05,$929.05
B24-00530,"Building - Full Plan Check","Full Plan Check",Issued,4183-015-020,02/18/2025,"1,737 MONTEREY BLVD","1737 Monterey Blvd. Interior remodel to include removal of",,,,"$2,090.09","$2,090.09"
B24-00569,"Building - Full Plan Check","Full Plan Check",Issued,4181-006-012,02/05/2025,"426 28TH ST","Kitchen remodel, demo wall, replace windows and doors.",,,,,"$2,052.83"
B24-00597,"Building - Full Plan Check","Full Plan Check",Issued,4183-013-018,02/19/2025,"1,535 MONTEREY BLVD","CODE ENFORCEMENT STOP WORK: Legalizing Framing for",,,"$42,000.00","$5,491.52","$5,491.52"
B25-00027,"Building - Full Plan Check","Full Plan Check",Issued,4169-034-023,02/05/2025,"3,001 PACIFIC COAST HWY","Installation of a commercial ballasted rooftop PV array on a new",,,,,$771.47
B24-00601,"Building - In House Plan Check","In House Plan Check",Issued,4169-030-002,02/24/2025,"646 LONGFELLOW AVE","Retrofit with 48+ cripple wall",,,"$5,200.00",$409.68,$409.68
B24-00646,"Building - In House Plan Check","In House Plan Check",Issued,4182-021-005,02/10/2025,"520 24TH ST","(1) new skylight and (1) new window in primary suite to be",,,,,$366.51
