permit_number,permit_type,sub_type,status,parcel_number,issued_date,address,description,owner_name,contractor_name,valuation,fee,paid_fee
X24-00209,"Address Change","Address Change",Finaled,4185-007-015,01/30/2025,"946 15th PL","Address request for new ADU",,,,,$313.51
B23-00505,"Building - Full Plan Check","Full Plan Check",Inspections,4183-007-032,01/27/2025,"1,700 THE STRAND","Addition of 18 sqft at first floor & 75 sqft at second floor. Expand",,,,,"$2,211.50"
B24-00014,"Building - Full Plan Check","Full Plan Check",Issued,4186-008-019,01/08/2025,"906 9TH ST","Addition of front deck, expansion of deck at the rear and",,,,,"$2,647.19"
B24-00225,"Building - Full Plan Check","Full Plan Check",Issued,4161-027-013,01/23/2025,"1,217 10th ST","ADU conversion in 405 sqf detached garage. (ADU address",,,,,"$2,814.37"
B24-00240,"Building - Full Plan Check","Full Plan Check",Issued,4161-027-013,01/23/2025,"1,219 10TH ST","Convert (E) 2nd story family room into new master suite with new",,,,,"$1,957.20"
B24-00253,"Building - Full Plan Check","Full Plan Check",Issued,4187-032-021,01/22/2025,"625 7TH ST A","Exterior renovation and roof deck addition to existing 4-unti",,,,,"$4,487.46"
B24-00332,"Building - Full Plan Check","Full Plan Check","Finaled -",,,"946 15th PL","Separating ground floor from upper unit and adding a kitchen to                                                 # Units:",,,,,"$2,841.41"
B24-00403,"Building - Full Plan Check","Full Plan Check",Issued,4186-027-002,01/30/2025,"1,026 2ND ST","Interior remodel, addition (91 sq ft), deck (154 sq. ft.), New porch,",,,,,"$2,393.83"
B24-00419,"Building - Full Plan Check","Full Plan Check",Issued,4169-034-023,01/13/2025,"3,001 PACIFIC COAST HWY","Tenant Improvement of existing 3 story office building. Interior","SEPULVEDA DESIGN CENTER LLC",,"$1,500,000.00","$33,125.48","$33,125.48"
B24-00532,"Building - Full Plan Check","Full Plan Check",Issued,4187-011-039,01/09/2025,"1,220 MONTEREY BLVD","Balcony expansion off the front of house adding 50 sq ft (NO",,,,,"$1,015.60"
