permit_number,permit_type,status,issued_date,parcel_number,address,valuation,fee,owner_name,contractor_name
25-COM0051," BLD Commercial","BLD Issued",12/30/2025,8709400014,"113 NW Frontage Rd, Fort Collins, CO 80524","7,000.00",$344.88,,
25-COM0077," BLD Commercial","BLD Issued",12/04/2025,8623226801,"7649 Rea Pkwy, Fort Collins, CO 80528","155,000.00","$3,078.01",,
25-COM0086," BLD Commercial","BLD LOC",12/16/2025,8707210001,"1326 Duff Dr, Fort Collins, CO 80524","64,367.00","$2,404.94",,
25-COM0088," BLD Commercial","BLD Issued",12/29/2025,0613000013,"9375 Gold Mine Rd, Loveland, CO 80538","15,000.00",$886.17,,
25-COM0067," BLD Commercial","BLD LOC",12/16/2025,0036000958,"16238 N Highway 287, Laporte, CO 80535","30,000.00","$1,435.30",,
25-COM0063," BLD Commercial","BLD Issued",12/23/2025,8716107020,"901 Smithfield Dr, Fort Collins, CO 80524","700,000.00","$13,278.13",,
25-COM0079," BLD Commercial","BLD Issued",12/15/2025,8710000022,"120 NE Frontage Rd A, Fort Collins, CO 80524","206,566.08","$4,743.01",,
25-COM0054," BLD Commercial","BLD Issued",12/02/2025,9516100042,"3214 W Eisenhower Blvd A, Loveland, CO 80537","128,211.72","$3,617.79",,
25-COM0042," BLD Commercial","BLD Issued",12/29/2025,3403419001,"1616 Saint Moritz Trl, Estes Park, CO 80517","211,230.38","$4,865.84",,
25-ENER0192," BLD Energy","BLD Resubmittal",12/04/2025,2712406020,"125 Cougar Den Pl, Bellvue, CO 80512","48,900.00",$553.00,,
25-ENER0173," BLD Energy","BLD Issued",12/05/2025,9034000022,"1745 W County Road 76, Wellington, CO 80549","26,050.00",$553.00,,
25-ENER0201," BLD Energy","BLD LOC",12/10/2025,2433100001,"5240 County Road 59, Allenspark, CO 80510","28,000.00",$500.00,,
25-ENER0155," BLD Energy","BLD Resubmittal",12/03/2025,9636405007,"712 Engleman Pl, Loveland, CO 80538","26,352.00",$553.00,,
25-ENER0183," BLD Energy","BLD Issued",12/03/2025,2518405004,"1285 Chasm Dr, Estes Park, CO 80517","5,544.00",$259.05,,
25-ENER0187," BLD Energy","BLD Issued",12/04/2025,1424000046,"1553 Stagecoach Trl, Lyons, CO 80540","25,560.00",$500.00,,
25-ENER0204," BLD Energy","BLD LOC",12/19/2025,9418408001,"975 Carvin Ct, Berthoud, CO 80513","27,000.00",$500.00,,
25-ENER0175," BLD Energy","BLD Issued",12/16/2025,9821400007,"3701 N County Road 19, Fort Collins, CO 80524","26,745.00",$500.00,,
25-ENER0168," BLD Energy","BLD LOC",12/05/2025,0610434021,"9715 Running Brook Ln, Loveland, CO 80538","41,366.00",$500.00,,
25-ENER0166," BLD Energy","BLD LOC",12/02/2025,9525206009,"220 Sierra Vista Dr, Loveland, CO 80537","33,940.00",$553.00,,
