permit_number,permit_type,status,issued_date,parcel_number,address,valuation,fee,owner_name,contractor_name
25-COM0044," BLD Commercial","BLD Issued",10/27/2025,8922000905,"4240 E County Road 66, Wellington, CO 80549","526,295.00","$10,648.69",,
24-COM0034," BLD Commercial","BLD Issued",10/14/2025,9818000026,"4713 N County Road 23e, Laporte, CO 80535","95,155.20","$2,621.91",,
25-COM0062," BLD Commercial","BLD Issued",10/17/2025,0826000003,"3463 N County Road 27e, Bellvue, CO 80512","15,000.00",$691.17,,
25-COM0058," BLD Commercial","BLD Issued",10/23/2025,9525200014,"1423 S Lincoln Ave, Loveland, CO 80537","10,000.00",$511.59,,
25-COM0034," BLD Commercial","BLD Issued",10/09/2025,0512000017,"6952 W Highway 34, Loveland, CO 80537","18,000.00",$798.92,,
25-COM0011," BLD Commercial","BLD Issued",10/28/2025,9930000049,"8633 Arapaho Valley Rd, Laporte, CO 80535","150,000.00","$4,204.32",,
25-COM0057," BLD Commercial","BLD Issued",10/29/2025,0512000017,"6952 W Highway 34, Loveland, CO 80537","25,000.00","$1,229.32",,
25-COM0041," BLD Commercial","BLD Issued",10/29/2025,8903000010,"12995 N County Road 5, Wellington, CO 80549","2,500.00",$258.20,,
25-ENER0144," BLD Energy","BLD LOC",10/23/2025,8018000025,"1599 E County Road 82, Wellington, CO 80549","108,847.01",$500.00,,
25-ENER0031," BLD Energy","BLD Resubmittal",10/17/2025,0824000043,"5998 W County Road 54e, Bellvue, CO 80512","478,000.00","$1,053.00",,
25-ENER0130," BLD Energy","BLD LOC",10/06/2025,9709207021,"540 N Hollywood St, Fort Collins, CO 80521","30,679.00",$500.00,,
25-ENER0131," BLD Energy","BLD LOC",10/15/2025,9821100007,"2222 Boettcher Farm Ct, Fort Collins, CO 80524","45,348.00",$500.00,,
25-ENER0139," BLD Energy","BLD LOC",10/24/2025,1630000077,"11855 County Road 43, Drake, CO 80515","4,331.00",$333.03,,
25-ENER0153," BLD Energy","BLD LOC",10/29/2025,9418106023,"4322 Malibu Dr, Berthoud, CO 80513","25,050.00",$553.00,,
25-ENER0124," BLD Energy","BLD Issued",10/06/2025,9836122004,"732 Knollwood Cir, Fort Collins, CO 80524","32,674.00",$553.00,,
25-ENER0129," BLD Energy","BLD Issued",10/16/2025,2534407007,"544 Meadowview Dr, Estes Park, CO 80517","21,856.05",$606.00,,
25-ENER0126," BLD Energy","BLD LOC",10/07/2025,2517307003,"2120 Ridge Rd, Estes Park, CO 80517","166,000.00",$500.00,,
25-ENER0128," BLD Energy","BLD LOC",10/22/2025,8823306037,"4164 Taliesin Way, Fort Collins, CO 80524","40,680.00",$500.00,,
25-ENER0142," BLD Energy","BLD Issued",10/23/2025,0229000011,"188 Walno Ave, Livermore, CO 80536","34,344.00",$500.00,,
25-ENER0147," BLD Energy","BLD Issued",10/24/2025,0711106033,"403 Mica Ct, Bellvue, CO 80512","64,715.00",$500.00,,
